action,FOLD,CALL/CHECK,BETS/RAISE,pot,stack,active player
Folds,0,0,0,0.25,13.82,2
Checks,0,1,0,8.25,30.07,2
Checks,0,0,0,8.25,85.24,2
Bets,0,0,0,0.25,37.37,2
Folds,0,0,1,1.25,84.49,2
Bets,0,0,0,4.25,32.32,2
All-In,0,0,2,23.75,0.5,2
Raises,0,0,1,9.25,66.99,2
Calls,0,0,3,55.57,44.669999999999995,2
Folds,0,0,1,6.25,76.39,2
Bets,0,0,0,3.25,39.92,2
Checks,0,0,0,2.25,75.14,2
Checks,0,1,0,2.25,44.97,2
Checks,0,1,0,0.25,39.28,2
Checks,0,0,0,0.25,74.42,2
Bets,0,1,0,2.25,70.14,2
Checks,0,0,0,2.25,46.67,2
Calls,0,1,1,5.25,43.67,2
Checks,0,1,0,2.25,72.67,2
Checks,0,0,0,2.25,38.98,2
Bets,0,1,0,2.25,79.92,2
Calls,0,1,2,8.25,77.92,2
Checks,0,0,0,2.25,29.23,2
Raises,0,1,1,4.25,25.23,2
Folds,0,0,1,1.75,19.75,2
Bets,0,0,0,0.25,18.5,2
Folds,0,0,1,1.25,19.5,2
Bets,0,0,0,0.25,19.2,2
Folds,0,0,1,0.75,19.25,2
Bets,0,0,0,0.25,19.9,2
Checks,0,1,0,0.25,19.0,2
Checks,0,0,0,0.25,20.6,2
Checks,0,0,0,0.25,19.5,2
Checks,0,1,0,0.25,20.05,2
Checks,0,0,0,0.25,20.45,2
Checks,0,1,0,0.25,19.05,2
Checks,0,1,0,0.25,19.7,2
Checks,0,0,0,0.25,19.75,2
Checks,0,0,0,0.25,18.95,2
Checks,0,1,0,0.25,20.4,2
Bets,0,1,0,1.25,18.9,2
Checks,0,0,0,1.25,17.15,2
Folds,0,1,1,3.25,17.15,2
Bets,0,1,0,2.25,18.55,2
Checks,0,0,0,2.25,15.399999999999999,2
Folds,0,1,1,5.25,15.399999999999999,2
Checks,0,0,0,1.25,23.65,2
Calls,0,1,1,1.75,23.15,2
Bets,0,1,0,1.25,13.65,2
Checks,0,1,0,0.25,22.4,2
Checks,0,0,0,0.25,16.25,2
Checks,0,0,0,0.25,23.1,2
Checks,0,1,0,0.25,15.5,2
Folds,0,0,1,0.75,23.3,2
Bets,0,0,0,0.25,14.75,2
Checks,0,0,0,0.25,23.05,2
Calls,0,1,1,0.75,22.55,2
Bets,0,1,0,0.25,14.95,2
Checks,0,1,0,0.25,24.6,2
Checks,0,0,0,0.25,13.7,2
Checks,0,0,0,0.25,24.35,2
Calls,0,1,1,0.75,23.85,2
Bets,0,1,0,0.25,13.4,2
Calls,0,0,1,0.75,22.1,2
Bets,0,0,0,0.25,15.0,2
Bets,0,1,0,2.25,17.6,2
Checks,0,0,0,2.25,15.3,2
Folds,0,1,1,5.25,15.3,2
Checks,0,0,0,0.25,23.2,2
Checks,0,1,0,0.25,14.55,2
Checks,0,1,0,0.25,22.45,2
Checks,0,0,0,0.25,15.25,2
Checks,0,0,0,0.25,22.2,2
Checks,0,1,0,0.25,15.45,2
Bets,0,1,0,0.25,21.4,2
Checks,0,0,0,0.25,15.2,2
Folds,0,1,1,1.25,15.2,2
Checks,0,1,0,0.25,23.1,2
Checks,0,0,0,0.25,14.45,2
Checks,0,0,0,0.25,23.8,2
Folds,0,1,1,0.75,23.8,2
Bets,0,1,0,0.25,13.2,2
Checks,0,0,0,0.25,23.8,2
Checks,0,1,0,0.25,59.25,2
Checks,0,1,0,0.25,23.05,2
Checks,0,0,0,0.25,59.95,2
Bets,0,1,0,0.25,22.75,2
Checks,0,0,0,0.25,59.2,2
Folds,0,1,1,1.25,59.2,2
Checks,0,0,0,0.25,24.45,2
Folds,0,1,1,0.95,24.45,2
Bets,0,1,0,0.25,57.75,2
Checks,0,1,0,0.25,23.7,2
Checks,0,0,0,0.25,59.15,2
Checks,0,0,0,0.25,23.45,2
Checks,0,1,0,0.25,59.35,2
Checks,0,1,0,0.25,23.65,2
Checks,0,0,0,0.25,59.1,2
Checks,0,0,0,0.25,23.4,2
Checks,0,1,0,0.25,59.3,2
Checks,0,1,0,0.25,23.6,2
Checks,0,0,0,0.25,59.05,2
Bets,0,0,0,2.25,18.35,2
Folds,0,0,2,14.25,18.35,2
Raises,0,0,1,5.25,50.15,2
Bets,0,1,0,0.25,36.6,2
Checks,0,0,0,0.25,64.45,2
Folds,0,1,1,1.25,64.45,2
Checks,0,0,0,0.25,58.3,2
Checks,0,1,0,0.25,63.7,2
Bets,0,1,0,2.25,53.55,2
Raises,0,1,2,14.25,26.549999999999997,2
Folds,0,1,4,95.15,26.549999999999997,2
Checks,0,0,0,2.25,63.400000000000006,2
Raises,0,1,1,5.25,54.400000000000006,2
All-In,0,1,3,41.25,0.5000000000000071,2
