action,FOLD,CALL/CHECK,BETS/RAISE,pot,stack,active player
Folds,0,0,0,0,14.07,2
Checks,0,1,0,0.25,13.82,2
Calls,0,0,0,0,89.54,2
Raises,0,0,0,0,12.07,2
Folds,0,0,1,1.25,90.24,2
Raises,0,1,0,0.25,10.82,2
Calls,0,0,0,0,89.49,2
Folds,0,1,1,3.25,89.49,2
Raises,0,0,0,0,33.07,2
Calls,0,0,2,5.25,30.07,2
Raises,0,0,1,1.25,85.24,2
Checks,0,1,0,0.25,38.37,2
Calls,0,0,0,0,84.49,2
Folds,0,0,0,0,38.82,2
Folds,0,0,0,0,84.49,2
Raises,0,0,0,0,37.57,2
Folds,0,0,1,1.25,84.24,2
Folds,0,0,0,0,83.74,2
Raises,0,0,0,0,38.32,2
Folds,0,0,1,1.25,83.49,2
Folds,0,0,1,1.25,40.07,2
Raises,0,0,0,0,81.74,2
Folds,0,0,0,0,39.57,2
Raises,0,1,0,0.25,37.32,2
Calls,0,0,0,0,83.49,2
Calls,0,1,1,2.25,81.49,2
Calls,0,0,0,0,77.89,2
Calls,0,1,1,1.75,76.39,2
Raises,0,1,0,0.25,42.92,2
Calls,0,0,1,1.25,75.14,2
Raises,0,0,0,0,44.97,2
Folds,0,0,0,0,74.67,2
Calls,0,0,0,0,39.28,2
Checks,0,1,0,0.25,74.42,2
Raises,0,0,0,0,71.89,2
Folds,0,0,1,1.25,48.92,2
Raises,0,0,1,1.25,69.64,2
Raises,0,0,0,0,47.17,2
Folds,0,0,2,5.25,47.17,2
Folds,0,0,0,0,75.14,2
Folds,0,0,1,1.25,74.89,2
Raises,0,0,0,0,45.92,2
Raises,0,0,0,0,73.14,2
Calls,0,0,1,1.25,46.67,2
Raises,0,0,0,0,72.67,2
Calls,0,0,1,1.25,38.98,2
Folds,0,0,1,1.25,82.89,2
Raises,0,0,0,0,37.42,2
Raises,0,0,0,0,81.14,2
Folds,0,0,1,1.25,39.17,2
Folds,0,0,0,0,30.48,2
Raises,0,0,0,0,81.92,2
Calls,0,0,1,1.25,29.23,2
Calls,0,0,0,0,19.75,2
