action,FOLD,CALL/CHECK,BETS/RAISE,pot,stack,active player
Checks,0,0,0,5.25,73.64,2
Folds,0,1,1,10.25,73.64,2
Bets,0,1,0,5.25,38.47,2
Checks,0,1,0,0.25,39.28,2
Checks,0,0,0,0.25,74.42,2
Raises,0,0,1,12.75,47.64,2
Bets,0,0,0,8.25,39.17,2
Folds,0,0,2,35.25,39.17,2
Calls,0,0,1,13.25,64.67,2
Bets,0,0,0,8.25,30.979999999999997,2
Calls,0,0,1,39.980000000000004,53.19,2
All-In,0,0,0,20.25,0.5,2
Folds,0,0,1,1.25,19.0,2
Bets,0,0,0,0.25,19.6,2
Checks,0,0,0,0.25,19.5,2
Checks,0,1,0,0.25,20.05,2
Checks,0,0,0,0.25,20.45,2
Folds,0,1,1,1.25,20.45,2
Bets,0,1,0,0.25,18.05,2
Folds,0,0,1,3.25,19.2,2
Bets,0,0,0,1.25,17.25,2
Checks,0,0,0,2.25,17.95,2
Calls,0,1,1,3.75,16.45,2
Bets,0,1,0,2.25,17.9,2
Bets,0,1,0,0.25,21.4,2
Checks,0,0,0,0.25,16.25,2
Folds,0,1,1,1.25,16.25,2
Checks,0,0,0,0.25,23.1,2
Checks,0,1,0,0.25,15.5,2
Checks,0,0,0,1.25,22.55,2
Calls,0,1,1,2.25,21.55,2
Bets,0,1,0,1.25,13.95,2
Folds,0,0,1,1.25,24.6,2
Bets,0,0,0,0.25,12.7,2
Checks,0,0,0,2.25,23.35,2
Folds,0,1,1,5.75,23.35,2
Bets,0,1,0,2.25,9.4,2
Checks,0,1,0,3.25,21.1,2
Checks,0,0,0,3.25,14.0,2
Checks,0,0,0,0.25,23.2,2
Folds,0,1,1,3.75,23.2,2
Bets,0,1,0,0.25,11.05,2
Folds,0,0,1,1.25,22.45,2
Bets,0,0,0,0.25,14.25,2
Bets,0,0,0,0.25,21.2,2
Folds,0,0,1,1.25,15.45,2
Bets,0,1,0,0.25,22.1,2
Checks,0,0,0,0.25,14.45,2
Folds,0,1,1,1.25,14.45,2
Checks,0,1,0,0.25,23.05,2
Checks,0,0,0,0.25,59.95,2
Checks,0,0,0,0.25,23.45,2
Checks,0,1,0,0.25,59.35,2
Checks,0,1,0,0.25,23.65,2
Checks,0,0,0,0.25,59.1,2
Checks,0,0,0,0.25,58.3,2
Checks,0,1,0,0.25,63.7,2
Bets,0,0,0,44.25,33.0,2
Folds,0,0,1,89.25,73.15,2
