action,FOLD,CALL/CHECK,BETS/RAISE,pot,stack,active player
Checks,0,0,0,0.25,9.52,2
Checks,0,1,0,0.25,16.88,2
Bets,0,2,0,0.75,7.77,3
Checks,0,1,0,0.75,55.83,3
Folds,1,2,1,1.75,55.83,2
Checks,0,0,0,0.75,17.08,3
Folds,0,2,1,1.75,17.08,3
Calls,0,0,1,5.25,6.220000000000001,2
Bets,0,0,0,2.25,51.08,2
Checks,0,0,0,0.25,5.47,2
Calls,0,1,1,0.75,4.97,2
Bets,0,1,0,0.25,16.33,2
Bets,0,1,0,12.5,84.75,1
Checks,0,0,0,12.5,121.6,1
Folds,0,1,1,22.5,121.6,1
Bets,0,2,0,2.5,119.18,2
Checks,0,0,0,2.5,48.24,2
Folds,0,2,1,4.0,48.24,2
Checks,0,1,0,2.5,39.2,2
Folds,1,2,1,4.0,39.2,1
Bets,0,0,0,0.5,51.05,2
Folds,0,0,1,1.75,29.7,2
Checks,0,1,0,0.5,50.7,2
Checks,0,0,0,0.5,95.8,2
Checks,0,0,0,0.25,39.65,2
Checks,0,1,0,0.25,94.45,2
Checks,0,0,0,0.25,50.7,2
Checks,0,1,0,0.25,23.73,2
Checks,0,1,0,3.25,48.7,2
Checks,0,0,0,3.25,22.68,2
Folds,0,0,1,3.25,19.5,2
Bets,0,0,0,1.25,17.25,2
Checks,0,1,0,4.5,14.5,2
Checks,0,0,0,4.5,21.2,2
Calls,0,0,1,2.25,11.5,2
Bets,0,0,0,1.75,26.25,2
Checks,0,1,0,3.75,17.25,2
Checks,0,0,0,3.75,13.05,2
Bets,0,1,0,4.25,7.050000000000001,2
Checks,0,0,0,4.25,22.75,2
Folds,0,1,1,9.25,22.75,2
Checks,0,0,0,0.25,52.07,2
Checks,0,1,0,0.25,69.55,2
Bets,0,0,0,0.25,19.25,2
Calls,0,0,1,0.75,49.56,2
Bets,0,2,0,13.0,15.75,2
Checks,0,0,0,13.0,15.5,2
Folds,0,2,1,26.5,15.5,2
Checks,0,1,0,13.0,12.29,2
Folds,1,2,1,26.5,12.29,1
Bets,0,1,0,2.25,35.1,2
Checks,0,0,0,2.25,61.25,2
Calls,0,1,1,3.75,59.75,2
Checks,0,0,0,0.5,36.35,2
Folds,0,1,1,1.5,36.35,2
Bets,0,1,0,0.5,35.3,2
Checks,0,0,0,0.5,82.4,2
Folds,0,1,1,1.75,82.4,2
Bets,0,1,0,0.5,15.45,2
Bets,0,0,0,6.25,74.65,2
Folds,0,0,1,10.25,14.899999999999999,2
Calls,0,0,1,3.0,10.7,2
Bets,0,0,0,2.5,37.0,2
Bets,0,0,0,6.75,14.719999999999999,2
Folds,0,0,1,11.0,12.35,2
Checks,0,0,0,0.25,11.6,2
Checks,0,1,0,0.25,25.87,2
Checks,0,0,0,2.25,24.62,3
Checks,0,2,0,2.25,11.3,3
Checks,0,1,0,2.25,35.25,3
Bets,0,1,0,2.25,10.17,2
Checks,0,0,0,2.25,46.26,2
Calls,0,1,1,5.25,43.26,2
Checks,0,1,0,2.25,41.35,2
Checks,0,0,0,2.25,8.78,2
Checks,0,0,0,17.25,44.5,2
Calls,0,1,1,17.78,43.97,2
All-In,0,1,0,17.25,-6.661338147750939e-16,2
Bets,0,0,0,2.25,27.93,2
Calls,0,0,1,2.75,23.15,2
Raises,0,0,1,6.25,60.94,2
Bets,0,0,0,2.75,8.95,2
All-In,0,0,2,19.75,0.25,2
Checks,0,1,0,0.5,7.09,1
Checks,0,0,0,0.5,47.25,1
Checks,0,1,0,0.75,48.67,3
Checks,0,2,0,0.75,13.0,3
Checks,0,0,0,0.75,34.97,3
Bets,0,1,0,0.5,25.58,1
Checks,0,0,0,0.5,24.64,1
Folds,0,1,1,1.0,24.64,1
Checks,0,0,0,2.5,128.31,2
Folds,0,1,1,4.5,128.31,2
Bets,0,1,0,2.5,12.2,2
Folds,0,0,1,1.25,62.75,2
Bets,0,0,0,0.25,15.05,2
Calls,0,0,1,14.5,40.75,1
Bets,0,0,0,7.0,22.78,1
Checks,0,0,0,0.75,119.74,3
Calls,0,2,1,1.25,119.24,3
Checks,0,1,0,0.75,45.9,3
Folds,0,3,1,1.75,45.9,3
Bets,0,2,0,0.75,15.170000000000002,3
Checks,0,0,0,3.75,121.44,2
Calls,0,1,1,8.25,116.94,2
Bets,0,1,0,3.75,26.869999999999997,2
Bets,0,0,0,3.0,112.44,2
Folds,0,0,1,6.75,42.65,2
Checks,0,1,0,0.25,127.94,2
Checks,0,0,0,0.25,46.92,2
Checks,0,0,0,0.75,127.19,3
Folds,1,1,1,2.25,127.19,2
Bets,0,1,0,0.75,18.1,3
Folds,0,1,1,2.25,47.12,3
Bets,0,1,0,3.0,118.32,2
Checks,0,0,0,3.0,32.64,2
Folds,0,1,1,6.75,32.64,2
Bets,0,1,0,6.75,120.67,3
Calls,0,1,1,9.75,14.05,3
Checks,0,0,0,6.75,29.89,3
Folds,0,2,1,12.75,29.89,3
Bets,0,1,0,8.25,104.42,2
Checks,0,0,0,8.25,41.39,2
Calls,0,1,1,17.25,32.39,2
Bets,0,0,0,3.0,30.4,2
